lda_topic,bertopic_id,overlap_keywords,bertopic_count,confidence
블랙헤드_안티포어,4.0,"['블랙', '키트']",75,high
블랙헤드_안티포어,11.0,['클리어'],20,high
프로폴리스_앰플,,[],0,low
트러블_이탈,0.0,['여드름'],1113,high
더마코스메틱,0.0,['피부과'],1113,high
더마코스메틱,7.0,"['피부과', '추출물']",36,high
더마코스메틱,13.0,['피부과'],17,high
